RunID,BatchID,Model,Temp,Batch_Size,Run_Time,Max_Tok,Prompt_Stem,Dialog,N_shots,C_1,C_2,C_3,C_4,C_5,C_6,Holistic Acc,Avg hit Conf,Std Dev Conf,Precision,Recall,F1,Notes
75c1b935-f2b2-45d6-b876-29cb8284325e,c41bfe86-a1f2-4eb9-8f47-5a13fcdf0cee,gpt-3.5-turbo,0.3,10,69,Undefined,API_PT_Revised.txt,diode,10,0.6,1.0,NA,NA,NA,NA,0.8,0.8125,0.11110243021644500,1.0,0.6,0.749,NA
d247303b-44d1-47f9-bf36-7fc219ce92db,c41bfe86-a1f2-4eb9-8f47-5a13fcdf0cee,gpt-3.5-turbo,0.3,10,65,Undefined,API_PT_Revised.txt,diode,15,0.6,1.0,NA,NA,NA,NA,0.8,0.79375,0.12975337182516700,1.0,0.6,0.749,NA
dc27a80c-70bb-4a69-abe7-5fca405d3d1e,c41bfe86-a1f2-4eb9-8f47-5a13fcdf0cee,gpt-3.5-turbo,0.3,10,68,Undefined,API_PT_Revised.txt,diode,20,0.6,1.0,NA,NA,NA,NA,0.8,0.8,0.11726039399558600,1.0,0.6,0.749,NA
f2fdb5df-fc42-4a09-a7c7-125e753180c0,c41bfe86-a1f2-4eb9-8f47-5a13fcdf0cee,gpt-3.5-turbo,0.3,10,65,Undefined,API_PT_Revised.txt,diode,25,0.6,1.0,NA,NA,NA,NA,0.8,0.76875,0.17577951388031500,1.0,0.6,0.749,NA
9ba9bb51-2844-48b9-8744-1aa865a204b3,40d9c3af-4711-4e78-95c3-35ee2ed837bd,gpt-3.5-turbo,0.3,10,60,Undefined,API_PT_Revised.txt,diode,0,0.8,0.9,NA,NA,NA,NA,0.8500000000000000,0.5470588235294120,0.30315526415823800,1.0,0.625,0.769,NA
7577b82b-88ac-4f32-a388-37a11ccc1c96,40d9c3af-4711-4e78-95c3-35ee2ed837bd,gpt-3.5-turbo,0.3,10,59,Undefined,API_PT_Revised.txt,diode,5,0.9,1.0,NA,NA,NA,NA,0.95,0.768421052631579,0.14161709523235500,1.0,0.875,0.933,NA
1dbbc62c-0d81-4d0c-a13b-c741a3136a99,40d9c3af-4711-4e78-95c3-35ee2ed837bd,gpt-3.5-turbo,0.3,10,64,Undefined,API_PT_Revised.txt,diode,10,0.9,0.9,NA,NA,NA,NA,0.9,0.7777777777777780,0.1396645009997390,1.0,0.75,0.857,NA
e43169f7-7fa7-4f18-baca-5e2ce0a13d25,40d9c3af-4711-4e78-95c3-35ee2ed837bd,gpt-3.5-turbo,0.3,10,59,Undefined,API_PT_Revised.txt,diode,15,0.9,0.9,NA,NA,NA,NA,0.9,0.7833333333333330,0.1343709624716430,1.0,0.75,0.857,NA
176f9c65-28e9-4e36-9a4b-948fa8acf392,40d9c3af-4711-4e78-95c3-35ee2ed837bd,gpt-3.5-turbo,0.3,10,60,Undefined,API_PT_Revised.txt,diode,20,0.9,0.9,NA,NA,NA,NA,0.9,0.8055555555555560,0.11290223018278700,1.0,0.75,0.857,NA
a164369e-b3f8-48eb-b0bb-335d9bcf9c1f,40d9c3af-4711-4e78-95c3-35ee2ed837bd,gpt-3.5-turbo,0.3,10,60,Undefined,API_PT_Revised.txt,diode,25,0.9,0.9,NA,NA,NA,NA,0.9,0.7833333333333330,0.16072751268321600,1.0,0.75,0.857,NA
23777f3f-0df0-4e72-a544-7b304c72de89,d7d88b21-2dfb-4b1c-af50-e7075eba61e2,gpt-3.5-turbo,0.3,10,72,Undefined,API_PT_Revised.txt,suicide,0,0.5,1.0,NA,NA,NA,NA,0.75,0.64,0.2154065922853800,0.0,0.0,0.0,NA
3b332cee-d0ac-4402-a88c-6e1621fc5bc0,d7d88b21-2dfb-4b1c-af50-e7075eba61e2,gpt-3.5-turbo,0.3,10,67,Undefined,API_PT_Revised.txt,suicide,5,0.7,0.9,NA,NA,NA,NA,0.8,0.7437500000000000,0.14986973510352200,0.666,0.4,0.5,NA
86dd12f1-8ad9-4c83-aebb-0393ba595ab7,d7d88b21-2dfb-4b1c-af50-e7075eba61e2,gpt-3.5-turbo,0.3,10,72,Undefined,API_PT_Revised.txt,suicide,10,0.8,0.9,NA,NA,NA,NA,0.8500000000000000,0.7470588235294120,0.17190163760238200,0.75,0.6,0.666,NA
bc604d05-ead4-47e6-be23-1f7f2e7b841f,d7d88b21-2dfb-4b1c-af50-e7075eba61e2,gpt-3.5-turbo,0.3,10,66,Undefined,API_PT_Revised.txt,suicide,15,0.8,0.9,NA,NA,NA,NA,0.8500000000000000,0.7352941176470590,0.19079146753208100,0.75,0.6,0.666,NA
e066a028-e9ea-464c-afdd-d4441a0676e0,d7d88b21-2dfb-4b1c-af50-e7075eba61e2,gpt-3.5-turbo,0.3,10,64,Undefined,API_PT_Revised.txt,suicide,20,0.9,0.9,NA,NA,NA,NA,0.9,0.6333333333333330,0.27284509239574800,0.8,0.8,0.800,NA
d63eb01f-223c-4808-a20e-9563b61f5d9b,d7d88b21-2dfb-4b1c-af50-e7075eba61e2,gpt-3.5-turbo,0.3,10,247,Undefined,API_PT_Revised.txt,suicide,25,0.9,1.0,NA,NA,NA,NA,0.95,0.4947368421052630,0.28740890403107500,1.0,0.8,0.888,NA
5a1be028-de14-4a77-871b-7d55ac4101e1,f15dc28f-87dd-4142-9376-3a1cc465daca,gpt-3.5-turbo,0.1,10,59,Undefined,API_PT_Revised.txt,suicide,0,0.7,1.0,NA,NA,NA,NA,0.85,0.7470588235294118,0.15384349212496495,1.0,0.666,0.8,NA
f9e07a57-2ca5-4ab6-9ea6-19a201c02803,f15dc28f-87dd-4142-9376-3a1cc465daca,gpt-3.5-turbo,0.1,10,59,Undefined,API_PT_Revised.txt,suicide,5,0.8,0.9,NA,NA,NA,NA,0.8500000000000001,0.7352941176470589,0.12806788857104262,0.875,0.777,0.823,NA
e48a0316-4205-42ef-9126-9f669a0d7857,f15dc28f-87dd-4142-9376-3a1cc465daca,gpt-3.5-turbo,0.1,10,375,Undefined,API_PT_Revised.txt,suicide,10,0.7,0.8,NA,NA,NA,NA,0.75,0.7266666666666667,0.1569146972791976,0.7,0.777,0.736,NA
b6a3ffcd-972b-496a-99c4-e424e36644e1,f15dc28f-87dd-4142-9376-3a1cc465daca,gpt-3.5-turbo,0.1,10,60,Undefined,API_PT_Revised.txt,suicide,15,0.8,0.8,NA,NA,NA,NA,0.8,0.7562500000000001,0.13678792892649558,0.777,0.777,0.777,NA
ef17b1f8-7b00-4521-9619-41a7d5208955,f15dc28f-87dd-4142-9376-3a1cc465daca,gpt-3.5-turbo,0.1,10,61,Undefined,API_PT_Revised.txt,suicide,20,0.8,0.9,NA,NA,NA,NA,0.8500000000000001,0.723529411764706,0.19259653580876354,0.8,0.888,0.842,NA
